No,SheetNo*,Title*,Milestone SC*
,,,
,Architecture,,
1,B1-A-100.GA,GROUND FLOOR PLAN,4
2,B1-A-100.FL,GROUND FLOOR FLOORING PLAN,7
3,B1-A-101.GA,TYPICAL FLOOR PLANS,4
4,B1-A-101.FL,FIRST/TYPICAL FLOORING PLAN,7
5,B1-A-102.GA,TERRACE AND ROOF PLAN,4
6,B1-A-200,BUILDING ELEVATIONS,4
7,B1-A-300,BUILDING SECTIONS,4
8,B1-A-301,WALL SECTIONS - A,7
9,B1-A-302,WALL SECTIONS - B,7
10,B1-A-400,STAIRCASE DETAILS,7
11,B1-A-401,KITCHEN DETAIL,7
12,B1-A-402,TOILET DETAILS,7
13,B1-A-500,DOOR WINDOW DETAILS,7
14,B1-A-501,WINDOW DETAILS,7
15,B1-A-700,DETAILS,7
,,,
,Structure,,
1,B1-S-001,COLUMN LAYOUT PLAN,5
2,B1-S-002,FOUNDATION PLAN,7
3,B1-S-003,PLINTH BEAM PLAN,7
4,B1-S-004,TYPICAL FLOOR FRAMING LAYOUT,5
5,B1-S-005,ROOF FRAMING LAYOUT,5
6,B1-S-006,MUMTY DETAILS,5
7,B1-S-007,STANDARD DETAILS,7
,,,
,Electrical,,
1,B1-E-001,ELECTRICAL - SINGLE LINE DIAGRAM,4
1,B1-E-002,GROUND FLOOR LIGHTING PLAN,5
2,B1-E-003,GROUND FLOOR POWER LAYOUT PLAN,7
3,B1-E-004,TYPICAL FLOOR LIGHTING PLAN,5
4,B1-E-005,TYPICAL FLOOR POWER LAYOUT PLAN,7
5,B1-E-006,TERRACE LIGHTING AND POWER LAYOUT PLAN,5
,,,
,PHE,,
1,B1-P-001,PLUMBING - SINGLE LINE DIAGRAM,4
2,B1-P-002,GROUND FLOOR PLUMBING LAYOUT,5
3,B1-P-003,FIRST/TYPICAL FLOOR PLUMBING LAYOUT,5
4,B1-P-004,TERRACE FLOOR PLUMBING LAYOUT,5
5,B1-P-005,MUMTY LEVEL PLUMBING LAYOUT,5
6,B1-P-006,TOILET - PLUMBING DETAILS,7
,,,
,Service Coordination Drawings,,
1,B1-SC-100,GROUND FLOOR COORDINATED SERVICE PLAN,7
2,B1-SC-101,FIRST/TYPICAL FLOOR COORDINATED SERVICE PLAN,7
3,B1-SC-103,TERRACE FLOOR COORDINATED SERVICE PLAN,7
4,B1-SC-104,MUMTY FLOOR COORDINATED SERVICE PLAN,7
